LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,5 to 11,2008,Percent,0.38
Nation,United States,12 to 14,2008,Percent,0.17
Nation,United States,15 to 17,2008,Percent,0.18
Nation,United States,0 to 4,2013,Percent,0.27
Nation,United States,12 to 14,2013,Percent,0.17
Nation,United States,15 to 17,2013,Percent,0.17
Nation,United States,5 to 11,2013,Percent,0.39
Nation,United States,Total less than 18,2013,Percent,1
Nation,United States,0 to 4,2013,Number,19849214
Nation,United States,12 to 14,2013,Number,12522448
Nation,United States,15 to 17,2013,Number,12502008
Nation,United States,5 to 11,2013,Number,28696204
Nation,United States,Total less than 18,2013,Number,73569874
Nation,United States,0 to 4,2018,Number,19810275
Nation,United States,12 to 14,2018,Number,12492443
Nation,United States,15 to 17,2018,Number,12513898
Nation,United States,5 to 11,2018,Number,28582726
Nation,United States,Total less than 18,2018,Number,73399342
Nation,United States,0 to 4,2018,Percent,0.27
Nation,United States,12 to 14,2018,Percent,0.17
Nation,United States,15 to 17,2018,Percent,0.17
Nation,United States,5 to 11,2018,Percent,0.39
Nation,United States,Total less than 18,2018,Percent,1
Nation,United States,Total less than 18,2009,Percent,1
Nation,United States,0 to 4,2009,Percent,0.27
Nation,United States,5 to 11,2009,Percent,0.38
Nation,United States,12 to 14,2009,Percent,0.17
Nation,United States,15 to 17,2009,Percent,0.18
Nation,United States,Total less than 18,2009,Number,74134167
Nation,United States,0 to 4,2009,Number,20244518
Nation,United States,5 to 11,2009,Number,28382194
Nation,United States,12 to 14,2009,Number,12460869
Nation,United States,15 to 17,2009,Number,13046586
Nation,United States,0 to 4,2010,Number,20188815
Nation,United States,12 to 14,2010,Number,12378266
Nation,United States,15 to 17,2010,Number,12920084
Nation,United States,5 to 11,2010,Number,28633605
Nation,United States,Total less than 18,2010,Number,74120770
Nation,United States,0 to 4,2010,Percent,0.27
Nation,United States,12 to 14,2010,Percent,0.17
Nation,United States,15 to 17,2010,Percent,0.17
Nation,United States,5 to 11,2010,Percent,0.39
Nation,United States,Total less than 18,2010,Percent,1
Nation,United States,0 to 4,2015,Percent,0.27
Nation,United States,12 to 14,2015,Percent,0.17
Nation,United States,15 to 17,2015,Percent,0.17
Nation,United States,5 to 11,2015,Percent,0.39
Nation,United States,Total less than 18,2015,Percent,1
Nation,United States,0 to 4,2015,Number,19918105
Nation,United States,12 to 14,2015,Number,12359276
Nation,United States,15 to 17,2015,Number,12619940
Nation,United States,5 to 11,2015,Number,28722354
Nation,United States,Total less than 18,2015,Number,73619675
Nation,United States,0 to 4,2011,Number,20123103
Nation,United States,12 to 14,2011,Number,12380574
Nation,United States,15 to 17,2011,Number,12739433
Nation,United States,5 to 11,2011,Number,28664954
Nation,United States,Total less than 18,2011,Number,73908064
Nation,United States,0 to 4,2011,Percent,0.27
Nation,United States,12 to 14,2011,Percent,0.17
Nation,United States,15 to 17,2011,Percent,0.17
Nation,United States,5 to 11,2011,Percent,0.39
Nation,United States,Total less than 18,2011,Percent,1
Nation,United States,0 to 4,2012,Percent,0.27
Nation,United States,12 to 14,2012,Percent,0.17
Nation,United States,15 to 17,2012,Percent,0.17
Nation,United States,5 to 11,2012,Percent,0.39
Nation,United States,Total less than 18,2012,Percent,1
Nation,United States,0 to 4,2012,Number,19976066
Nation,United States,12 to 14,2012,Number,12478861
Nation,United States,15 to 17,2012,Number,12584241
Nation,United States,5 to 11,2012,Number,28658387
Nation,United States,Total less than 18,2012,Number,73697555
Nation,United States,0 to 4,2014,Number,19872353
Nation,United States,12 to 14,2014,Number,12467007
Nation,United States,15 to 17,2014,Number,12511610
Nation,United States,5 to 11,2014,Number,28714122
Nation,United States,Total less than 18,2014,Number,73565092
Nation,United States,0 to 4,2014,Percent,0.27
Nation,United States,12 to 14,2014,Percent,0.17
Nation,United States,15 to 17,2014,Percent,0.17
Nation,United States,5 to 11,2014,Percent,0.39
Nation,United States,Total less than 18,2014,Percent,1
Nation,United States,0 to 4,2016,Percent,0.27
Nation,United States,12 to 14,2016,Percent,0.17
Nation,United States,15 to 17,2016,Percent,0.17
Nation,United States,5 to 11,2016,Percent,0.39
Nation,United States,Total less than 18,2016,Percent,1
Nation,United States,0 to 4,2016,Number,19922365
Nation,United States,12 to 14,2016,Number,12345094
Nation,United States,15 to 17,2016,Number,12674260
Nation,United States,5 to 11,2016,Number,28707982
Nation,United States,Total less than 18,2016,Number,73649701
Nation,United States,0 to 4,2017,Number,19891967
Nation,United States,12 to 14,2017,Number,12419738
Nation,United States,15 to 17,2017,Number,12620317
Nation,United States,5 to 11,2017,Number,28650993
Nation,United States,Total less than 18,2017,Number,73583015
Nation,United States,0 to 4,2017,Percent,0.27
Nation,United States,12 to 14,2017,Percent,0.17
Nation,United States,15 to 17,2017,Percent,0.17
Nation,United States,5 to 11,2017,Percent,0.39
Nation,United States,Total less than 18,2017,Percent,1
State,Alabama,0 to 4,2017,Percent,0.27
State,Alabama,12 to 14,2017,Percent,0.17
State,Alabama,15 to 17,2017,Percent,0.18
State,Alabama,5 to 11,2017,Percent,0.39
State,Alabama,Total less than 18,2017,Percent,1
State,Alabama,Total less than 18,1999,Number,1121287
State,Alabama,5 to 11,1999,Number,442836
State,Alabama,0 to 4,1999,Number,294940
State,Alabama,0 to 4,2017,Number,293690
State,Alabama,12 to 14,2017,Number,184090
State,Alabama,15 to 17,2017,Number,192100
State,Alabama,5 to 11,2017,Number,425355
State,Alabama,Total less than 18,2017,Number,1095235
State,Alabama,0 to 4,2016,Number,294067
State,Alabama,12 to 14,2016,Number,183972
State,Alabama,15 to 17,2016,Number,194840
State,Alabama,5 to 11,2016,Number,426448
State,Alabama,Total less than 18,2016,Number,1099327
State,Alabama,0 to 4,2016,Percent,0.27
State,Alabama,12 to 14,2016,Percent,0.17
State,Alabama,15 to 17,2016,Percent,0.18
State,Alabama,5 to 11,2016,Percent,0.39
State,Alabama,Total less than 18,2016,Percent,1
State,Alabama,0 to 4,2014,Percent,0.27
State,Alabama,12 to 14,2014,Percent,0.17
State,Alabama,15 to 17,2014,Percent,0.17
State,Alabama,5 to 11,2014,Percent,0.39
State,Alabama,Total less than 18,2014,Percent,1
State,Alabama,0 to 4,2014,Number,293548
State,Alabama,12 to 14,2014,Number,191604
State,Alabama,15 to 17,2014,Number,192192
State,Alabama,5 to 11,2014,Number,428416
State,Alabama,Total less than 18,2014,Number,1105760
State,Alabama,0 to 4,2012,Number,299233
State,Alabama,12 to 14,2012,Number,193967
State,Alabama,15 to 17,2012,Number,192005
State,Alabama,5 to 11,2012,Number,431493
State,Alabama,Total less than 18,2012,Number,1116698
State,Alabama,0 to 4,2012,Percent,0.27
State,Alabama,12 to 14,2012,Percent,0.17
State,Alabama,15 to 17,2012,Percent,0.17
State,Alabama,5 to 11,2012,Percent,0.39
State,Alabama,Total less than 18,2012,Percent,1
State,Alabama,0 to 4,2011,Percent,0.27
State,Alabama,12 to 14,2011,Percent,0.17
State,Alabama,15 to 17,2011,Percent,0.17
State,Alabama,5 to 11,2011,Percent,0.39
State,Alabama,Total less than 18,2011,Percent,1
State,Alabama,0 to 4,2015,Number,293938
State,Alabama,12 to 14,2015,Number,187250
State,Alabama,15 to 17,2015,Number,194077
State,Alabama,5 to 11,2015,Number,427337
State,Alabama,Total less than 18,2015,Number,1102602
State,Alabama,0 to 4,2011,Number,302829
State,Alabama,12 to 14,2011,Number,191677
State,Alabama,15 to 17,2011,Number,194799
State,Alabama,5 to 11,2011,Number,434521
State,Alabama,Total less than 18,2011,Number,1123826
State,Alabama,0 to 4,2010,Percent,0.27
State,Alabama,12 to 14,2010,Percent,0.17
State,Alabama,15 to 17,2010,Percent,0.18
State,Alabama,5 to 11,2010,Percent,0.39
State,Alabama,Total less than 18,2010,Percent,1
State,Alabama,0 to 4,2015,Percent,0.27
State,Alabama,12 to 14,2015,Percent,0.17
State,Alabama,15 to 17,2015,Percent,0.18
State,Alabama,5 to 11,2015,Percent,0.39
State,Alabama,Total less than 18,2015,Percent,1
State,Alabama,Total less than 18,2009,Number,1134192
State,Alabama,0 to 4,2009,Number,305412
State,Alabama,5 to 11,2009,Number,435432
State,Alabama,12 to 14,2009,Number,191504
State,Alabama,15 to 17,2009,Number,201844
State,Alabama,0 to 4,2010,Number,304261
State,Alabama,12 to 14,2010,Number,190974
State,Alabama,15 to 17,2010,Number,198810
State,Alabama,5 to 11,2010,Number,436392
State,Alabama,Total less than 18,2010,Number,1130437
State,Alabama,Total less than 18,2009,Percent,1
State,Alabama,0 to 4,2009,Percent,0.27
State,Alabama,5 to 11,2009,Percent,0.38
State,Alabama,12 to 14,2009,Percent,0.17
State,Alabama,15 to 17,2009,Percent,0.18
State,Alabama,0 to 4,2018,Percent,0.27
State,Alabama,12 to 14,2018,Percent,0.17
State,Alabama,15 to 17,2018,Percent,0.17
State,Alabama,5 to 11,2018,Percent,0.39
State,Alabama,Total less than 18,2018,Percent,1
State,Alabama,0 to 4,2018,Number,293203
State,Alabama,12 to 14,2018,Number,184868
State,Alabama,15 to 17,2018,Number,188242
State,Alabama,5 to 11,2018,Number,423527
State,Alabama,Total less than 18,2018,Number,1089840
State,Alabama,0 to 4,2013,Number,294691
State,Alabama,12 to 14,2013,Number,194521
State,Alabama,15 to 17,2013,Number,191435
State,Alabama,5 to 11,2013,Number,429264
State,Alabama,Total less than 18,2013,Number,1109911
State,Alabama,0 to 4,2013,Percent,0.27
State,Alabama,12 to 14,2013,Percent,0.18
State,Alabama,15 to 17,2013,Percent,0.17
State,Alabama,5 to 11,2013,Percent,0.39
State,Alabama,Total less than 18,2013,Percent,1
State,Alabama,Total less than 18,2008,Percent,1
State,Alabama,0 to 4,2008,Percent,0.27
State,Alabama,5 to 11,2008,Percent,0.38
State,Alabama,12 to 14,2008,Percent,0.17
State,Alabama,15 to 17,2008,Percent,0.18
State,Alabama,Total less than 18,2007,Number,1132296
State,Alabama,0 to 4,2007,Number,300300
State,Alabama,5 to 11,2007,Number,431504
State,Alabama,12 to 14,2007,Number,194916
State,Alabama,15 to 17,2007,Number,205576
State,Alabama,Total less than 18,2008,Number,1134927
State,Alabama,0 to 4,2008,Number,304842
State,Alabama,5 to 11,2008,Number,432987
State,Alabama,12 to 14,2008,Number,193198
State,Alabama,15 to 17,2008,Number,203900
State,Alabama,Total less than 18,2007,Percent,1
State,Alabama,0 to 4,2007,Percent,0.27
State,Alabama,5 to 11,2007,Percent,0.38
State,Alabama,12 to 14,2007,Percent,0.17
State,Alabama,15 to 17,2007,Percent,0.18
State,Alabama,Total less than 18,2006,Percent,1
State,Alabama,0 to 4,2006,Percent,0.26
State,Alabama,5 to 11,2006,Percent,0.38
State,Alabama,12 to 14,2006,Percent,0.17
State,Alabama,15 to 17,2006,Percent,0.18
State,Alabama,Total less than 18,2006,Number,1126798
State,Alabama,0 to 4,2006,Number,297222
State,Alabama,5 to 11,2006,Number,429749
State,Alabama,12 to 14,2006,Number,195699
State,Alabama,15 to 17,2006,Number,204128
State,Alabama,Total less than 18,2005,Number,1117229
State,Alabama,0 to 4,2005,Number,296441
State,Alabama,5 to 11,2005,Number,424553
State,Alabama,12 to 14,2005,Number,196925
State,Alabama,15 to 17,2005,Number,199310
State,Alabama,Total less than 18,2005,Percent,1
State,Alabama,0 to 4,2005,Percent,0.27
State,Alabama,5 to 11,2005,Percent,0.38
State,Alabama,12 to 14,2005,Percent,0.18
State,Alabama,15 to 17,2005,Percent,0.18
State,Alabama,Total less than 18,2004,Percent,1
State,Alabama,0 to 4,2004,Percent,0.27
State,Alabama,5 to 11,2004,Percent,0.38
State,Alabama,12 to 14,2004,Percent,0.18
State,Alabama,15 to 17,2004,Percent,0.17
State,Alabama,Total less than 18,2003,Number,1113083
State,Alabama,0 to 4,2003,Number,295204
State,Alabama,5 to 11,2003,Number,427596
State,Alabama,12 to 14,2003,Number,198194
State,Alabama,15 to 17,2003,Number,192089
State,Alabama,Total less than 18,2004,Number,1113662
State,Alabama,0 to 4,2004,Number,295970
State,Alabama,5 to 11,2004,Number,424823
State,Alabama,12 to 14,2004,Number,198959
State,Alabama,15 to 17,2004,Number,193910
State,Alabama,Total less than 18,2003,Percent,1
State,Alabama,0 to 4,2003,Percent,0.27
State,Alabama,5 to 11,2003,Percent,0.38
State,Alabama,12 to 14,2003,Percent,0.18
State,Alabama,15 to 17,2003,Percent,0.17
State,Alabama,Total less than 18,2002,Percent,1
State,Alabama,0 to 4,2002,Percent,0.27
State,Alabama,5 to 11,2002,Percent,0.39
State,Alabama,12 to 14,2002,Percent,0.17
State,Alabama,15 to 17,2002,Percent,0.17
State,Alabama,Total less than 18,2002,Number,1116590
State,Alabama,0 to 4,2002,Number,296046
State,Alabama,5 to 11,2002,Number,432436
State,Alabama,12 to 14,2002,Number,195204
State,Alabama,15 to 17,2002,Number,192904
State,Alabama,Total less than 18,2001,Number,1120409
State,Alabama,0 to 4,2001,Number,296624
State,Alabama,5 to 11,2001,Number,440186
State,Alabama,12 to 14,2001,Number,190955
State,Alabama,15 to 17,2001,Number,192644
State,Alabama,Total less than 18,2001,Percent,1
State,Alabama,0 to 4,2001,Percent,0.26
State,Alabama,5 to 11,2001,Percent,0.39
State,Alabama,12 to 14,2001,Percent,0.17
State,Alabama,15 to 17,2001,Percent,0.17
State,Alabama,Total less than 18,2000,Percent,1
State,Alabama,0 to 4,2000,Percent,0.26
State,Alabama,5 to 11,2000,Percent,0.4
State,Alabama,12 to 14,2000,Percent,0.17
State,Alabama,15 to 17,2000,Percent,0.17
State,Alabama,Total less than 18,2000,Number,1122273
State,Alabama,0 to 4,2000,Number,295185
State,Alabama,5 to 11,2000,Number,444252
State,Alabama,12 to 14,2000,Number,190298
State,Alabama,15 to 17,2000,Number,192538
State,Alabama,15 to 17,1999,Number,193219
State,Alabama,12 to 14,1999,Number,190292
State,Alabama,0 to 4,1998,Percent,0.26
State,Alabama,Total less than 18,1998,Percent,1
State,Alabama,15 to 17,1998,Percent,0.18
State,Alabama,12 to 14,1998,Percent,0.17
State,Alabama,5 to 11,1998,Percent,0.39
State,Alabama,5 to 11,1999,Percent,0.39
State,Alabama,15 to 17,1999,Percent,0.17
State,Alabama,12 to 14,1999,Percent,0.17
State,Alabama,Total less than 18,1999,Percent,1
State,Alabama,0 to 4,1999,Percent,0.26
State,Alabama,Total less than 18,1997,Number,1122893
State,Alabama,5 to 11,1997,Number,436595
State,Alabama,0 to 4,1997,Number,297163
State,Alabama,0 to 4,1998,Number,294482
State,Alabama,5 to 11,1998,Number,438562
State,Alabama,Total less than 18,1998,Number,1118252
State,Alabama,15 to 17,1997,Number,199271
State,Alabama,12 to 14,1997,Number,189864
State,Alabama,12 to 14,1998,Number,189066
State,Alabama,15 to 17,1998,Number,196142
State,Alabama,0 to 4,1996,Percent,0.27
State,Alabama,Total less than 18,1997,Percent,1
State,Alabama,5 to 11,1997,Percent,0.39
State,Alabama,12 to 14,1997,Percent,0.17
State,Alabama,15 to 17,1997,Percent,0.18
State,Alabama,0 to 4,1997,Percent,0.26
State,Alabama,Total less than 18,1996,Percent,1
State,Alabama,15 to 17,1996,Percent,0.18
State,Alabama,12 to 14,1996,Percent,0.17
State,Alabama,5 to 11,1996,Percent,0.39
State,Alabama,0 to 4,1996,Number,297767
State,Alabama,5 to 11,1996,Number,428278
State,Alabama,Total less than 18,1996,Number,1112092
State,Alabama,15 to 17,1995,Number,195049
State,Alabama,12 to 14,1995,Number,191106
State,Alabama,12 to 14,1996,Number,188725
State,Alabama,15 to 17,1996,Number,197322
State,Alabama,Total less than 18,1995,Number,1110553
State,Alabama,5 to 11,1995,Number,422904
State,Alabama,0 to 4,1995,Number,301494
State,Alabama,0 to 4,1995,Percent,0.27
State,Alabama,5 to 11,1995,Percent,0.38
State,Alabama,12 to 14,1995,Percent,0.17
State,Alabama,15 to 17,1995,Percent,0.18
State,Alabama,Total less than 18,1994,Percent,1
State,Alabama,15 to 17,1994,Percent,0.17
State,Alabama,12 to 14,1994,Percent,0.17
State,Alabama,5 to 11,1994,Percent,0.38
State,Alabama,0 to 4,1994,Percent,0.27
State,Alabama,Total less than 18,1995,Percent,1
State,Alabama,0 to 4,1994,Number,301097
State,Alabama,5 to 11,1994,Number,414937
State,Alabama,Total less than 18,1994,Number,1097180
State,Alabama,15 to 17,1993,Number,185673
State,Alabama,12 to 14,1993,Number,188505
State,Alabama,Total less than 18,1993,Number,1085606
State,Alabama,5 to 11,1993,Number,412164
State,Alabama,0 to 4,1993,Number,299264
State,Alabama,12 to 14,1994,Number,191184
State,Alabama,15 to 17,1994,Number,189962
State,Alabama,0 to 4,1993,Percent,0.28
State,Alabama,5 to 11,1993,Percent,0.38
State,Alabama,12 to 14,1993,Percent,0.17
State,Alabama,15 to 17,1993,Percent,0.17
State,Alabama,Total less than 18,1992,Percent,1
State,Alabama,15 to 17,1992,Percent,0.17
State,Alabama,12 to 14,1992,Percent,0.17
State,Alabama,5 to 11,1992,Percent,0.38
State,Alabama,0 to 4,1992,Percent,0.27
State,Alabama,Total less than 18,1993,Percent,1
State,Alabama,0 to 4,1992,Number,294818
State,Alabama,5 to 11,1992,Number,410519
State,Alabama,Total less than 18,1992,Number,1072873
State,Alabama,12 to 14,1992,Number,184213
State,Alabama,15 to 17,1992,Number,183323
State,Alabama,15 to 17,1991,Number,180356
State,Alabama,12 to 14,1991,Number,178948
State,Alabama,Total less than 18,1991,Number,1060794
State,Alabama,5 to 11,1991,Number,411520
State,Alabama,0 to 4,1991,Number,289970
State,Alabama,5 to 11,1990,Percent,0.39
State,Alabama,0 to 4,1990,Percent,0.27
State,Alabama,Total less than 18,1990,Percent,1
State,Alabama,15 to 17,1990,Percent,0.17
State,Alabama,12 to 14,1990,Percent,0.17
State,Alabama,0 to 4,1991,Percent,0.27
State,Alabama,5 to 11,1991,Percent,0.39
State,Alabama,12 to 14,1991,Percent,0.17
State,Alabama,15 to 17,1991,Percent,0.17
State,Alabama,Total less than 18,1991,Percent,1
State,Alabama,0 to 4,1990,Number,285723
State,Alabama,5 to 11,1990,Number,409168
State,Alabama,Total less than 18,1990,Number,1050041
State,Alabama,12 to 14,1990,Number,174286
State,Alabama,15 to 17,1990,Number,180864
State,Alaska,0 to 4,1990,Number,56984
State,Alaska,5 to 11,1990,Number,72223
State,Alaska,15 to 17,1990,Number,23041
State,Alaska,Total less than 18,1990,Number,177502
State,Alaska,12 to 14,1990,Number,25254
State,Alaska,0 to 4,1991,Percent,0.31
State,Alaska,5 to 11,1991,Percent,0.41
State,Alaska,12 to 14,1991,Percent,0.15
State,Alaska,15 to 17,1991,Percent,0.13
State,Alaska,12 to 14,1990,Percent,0.14
State,Alaska,5 to 11,1990,Percent,0.41
State,Alaska,0 to 4,1990,Percent,0.32
State,Alaska,15 to 17,1990,Percent,0.13
State,Alaska,Total less than 18,1990,Percent,1
State,Alaska,Total less than 18,1991,Percent,1
State,Alaska,12 to 14,1991,Number,26730
State,Alaska,Total less than 18,1991,Number,182180
State,Alaska,15 to 17,1991,Number,23758
